策略,全量,全量pct,Qdn,Qdpct,Qen,Qepct,Qifn,Qifpct,Qicn,Qicpct,Qimitn,Qimitpct,Qinn,Qinpct,Qstn,Qstpct
下4+BSHA5,13731,0.5155487582841745,90.0,0.5111111111111111,519.0,0.35452793834296725,567.0,0.5114638447971781,1223.0,0.5249386753883892,7215.0,0.5164241164241165,3449.0,0.5372571759930415,668.0,0.5059880239520959
上3+BSHA3+连阳+周门,918320,0.5063572610854604,43763.0,0.3023558713982131,32334.0,0.3310137935300303,63701.0,0.4927709141143781,104240.0,0.5149750575594781,457523.0,0.5244370228381962,174546.0,0.5329998968753222,42213.0,0.5452585696349466
上2+BSHA3+连阳+周门,76901,0.5050259424454818,1005.0,0.37711442786069654,1356.0,0.3915929203539823,4949.0,0.49282683370377856,8548.0,0.5042115114646701,41592.0,0.50699653779573,15795.0,0.51661918328585,3656.0,0.5281728665207878
上2+BSHA3+周门,100998,0.5021485573971762,1156.0,0.36678200692041524,1745.0,0.36332378223495704,6376.0,0.4915307402760351,11133.0,0.5014820803018054,54701.0,0.5062613114933914,21006.0,0.5098543273350471,4881.0,0.5199754148740012
上2+BSHA3+连阳,90605,0.5009657303680812,1190.0,0.3453781512605042,1556.0,0.3676092544987147,5762.0,0.4819507115584866,9977.0,0.4980455046607197,49082.0,0.5038506988305285,18754.0,0.5149301482350432,4284.0,0.530812324929972
上1+BSHA3,554866,0.49892406454891813,8408.0,0.36298763082778307,9301.0,0.3500698849586066,33918.0,0.46919040037738075,60422.0,0.4958127834232564,298240.0,0.5058141094420601,117048.0,0.5092867883261568,27529.0,0.5154927530967344
下4+BSHA3+周门,11751,0.4987660624627691,104.0,0.25,221.0,0.42081447963800905,692.0,0.4725433526011561,1275.0,0.5121568627450981,6422.0,0.5001557147306135,2501.0,0.5161935225909636,536.0,0.4832089552238806
上3+BSHA3+连阳,1134712,0.4975385824773158,51853.0,0.3041482652884115,39190.0,0.3479459045674917,76714.0,0.48310608233177776,127251.0,0.5046090011080463,569583.0,0.5129296344869844,217674.0,0.5219410678353869,52447.0,0.5360459130169505
下1+连阳,1469,0.49625595643294756,22.0,0.7727272727272727,28.0,0.17857142857142858,79.0,0.4430379746835443,159.0,0.5157232704402516,786.0,0.49236641221374045,332.0,0.5331325301204819,63.0,0.4126984126984127
下4+BSHA3,64649,0.4854522111710931,936.0,0.46794871794871795,1708.0,0.3916861826697892,3289.0,0.48799027059896627,6592.0,0.4887742718446602,34169.0,0.4863765401387222,14740.0,0.49497964721845317,3215.0,0.4774494556765163
