DXEF,DXCD,DXAB,样本,→ZE>0,→ZE>0+ZC>0,→ZE>0+ZC>0+ZA>0,下日DSHA>0,下日DSHA>1,下日DSHA>3,均HR,中位HR
嘘,忠,忐,10625,49.7,46.7,46.7,99.4,93.4,53.6,1.9,1.19
嘘,忠,忠,422,25.1,24.4,24.4,96.9,71.6,23.9,1.6,1.03
嘘,忠,忑,940,12.8,12.4,11.8,88.0,52.9,13.8,1.69,1.18
嘘,忑,上,45657,21.7,14.4,14.4,97.1,76.9,30.6,1.78,1.17
嘘,忑,中,10794,10.0,7.4,7.3,80.2,41.8,10.6,1.7,1.14
嘘,忑,下,34421,5.7,4.3,3.9,52.8,24.4,6.0,1.67,1.16
嘘,忑,忐,88045,26.2,13.7,13.7,99.2,89.1,43.7,1.84,1.16
嘘,忑,忠,137524,9.2,3.0,3.0,97.7,78.6,29.5,1.78,1.11
嘘,忑,忑,569447,1.8,0.8,0.8,53.5,28.0,7.3,1.82,1.26
唏,上,上,543133,98.3,97.2,80.8,98.2,85.9,43.4,2.0,1.22
唏,上,中,126984,90.5,87.5,30.0,75.8,40.0,10.1,1.82,1.27
唏,上,下,86920,75.4,62.8,16.4,53.1,24.5,6.0,1.71,1.21
唏,上,忐,30643,95.3,84.9,79.6,99.0,87.8,39.0,1.76,1.12
唏,上,忠,10147,91.0,72.7,63.4,97.3,74.6,24.1,1.66,1.1
唏,上,忑,34261,81.2,61.1,30.3,76.8,40.8,9.9,1.63,1.11
唏,中,上,986,88.7,36.3,36.3,83.0,53.7,11.0,1.16,0.72
唏,中,中,398,79.1,30.2,28.6,73.4,33.7,6.3,1.22,0.85
唏,中,下,13529,54.6,19.2,9.4,33.3,14.4,3.8,1.6,1.12
唏,中,忐,5058,92.2,47.6,47.6,98.3,84.3,30.7,1.63,1.0
唏,中,忠,14220,86.9,33.5,33.5,97.2,73.0,21.3,1.52,0.96
唏,中,忑,97883,68.9,18.1,13.3,56.6,26.9,6.2,1.59,1.13
唏,下,上,392,73.7,29.3,29.3,93.9,53.6,14.0,1.44,0.81
唏,下,中,201,68.7,26.4,25.9,79.6,33.8,5.5,1.42,1.01
唏,下,下,4700,25.6,10.0,7.6,32.9,14.0,3.8,1.61,1.1
唏,下,忐,1980,81.0,27.2,27.2,98.0,83.3,28.2,1.5,0.9
唏,下,忠,10298,63.0,11.9,11.9,97.3,75.1,21.7,1.51,0.98
唏,下,忑,142731,21.0,2.5,2.4,41.5,18.3,4.0,1.56,1.12
唏,忐,上,78516,92.9,92.4,84.1,98.0,87.2,47.8,2.36,1.24
