DXEF,DXCD,DXAB,样本,DSHR>0_全量,DSHR>0_Qd,DSHR>0_Qe,DSHR>0_Qif,DSHR>0_Qic,DSHR>0_Qimit,DSHR>0_Qin,DSHR>1_全量,DSHR>1_Qd,DSHR>1_Qe,DSHR>1_Qif,DSHR>1_Qic,DSHR>1_Qimit,DSHR>1_Qin,DSHR>2_全量,DSHR>2_Qd,DSHR>2_Qe,DSHR>2_Qif,DSHR>2_Qic,DSHR>2_Qimit,DSHR>2_Qin
屎,上,忠,6165,80.9,77.7,59.5,79.5,82.0,83.3,85.5,48.6,30.8,19.5,48.1,50.3,55.0,54.8,26.9,9.1,5.0,24.9,28.5,32.7,32.1
屎,上,忑,14429,83.1,79.8,74.0,79.9,83.1,84.6,84.3,49.5,28.3,28.3,50.8,51.4,54.1,52.6,26.8,9.9,9.8,28.1,27.6,31.0,28.7
屎,中,上,696,51.0,71.7,22.9,63.6,75.7,84.0,76.4,25.9,15.2,7.3,36.4,37.8,52.1,48.1,12.5,2.2,2.1,31.8,16.2,27.8,24.5
屎,中,中,266,69.9,90.5,41.0,71.4,66.7,75.8,86.3,35.0,23.8,6.6,28.6,37.0,43.4,56.9,16.2,9.5,3.3,28.6,22.2,18.2,25.5
屎,中,下,5839,83.6,82.9,67.3,80.7,84.8,86.5,86.1,50.9,30.4,18.6,45.0,54.2,58.9,56.8,25.7,7.8,3.7,24.4,27.8,30.8,31.0
屎,中,忐,4368,80.5,81.6,64.9,72.4,83.3,82.3,84.2,46.7,22.1,20.8,42.8,51.2,53.8,55.5,26.3,8.1,5.7,20.2,30.4,31.8,33.4
屎,中,忠,8189,79.8,80.3,55.8,78.0,81.2,83.7,82.6,47.0,28.0,20.4,48.4,52.4,54.2,52.6,25.1,6.8,4.5,25.5,33.6,30.2,30.5
屎,中,忑,29475,83.7,83.6,74.1,82.3,83.4,85.6,84.5,51.0,32.0,33.5,49.1,56.3,56.3,55.5,25.8,8.9,10.4,25.8,30.2,30.7,29.1
屎,下,上,567,73.2,84.6,54.9,69.0,76.9,85.5,77.7,38.1,28.2,15.4,31.0,46.2,53.2,51.8,17.5,15.4,4.0,17.2,15.4,26.3,25.0
屎,下,中,234,71.4,70.0,46.2,88.9,69.2,77.0,77.4,44.9,35.0,12.8,66.7,46.2,53.0,52.8,26.1,20.0,7.7,44.4,30.8,33.0,24.5
屎,下,下,6911,81.9,78.2,67.7,83.1,87.7,84.1,85.1,48.7,24.1,22.0,48.7,56.3,56.6,54.9,24.4,7.6,8.1,24.2,26.5,29.4,29.4
屎,下,忐,6053,81.0,80.2,70.6,78.8,80.1,82.8,83.3,46.5,23.8,26.2,47.2,46.6,53.4,52.8,25.4,7.2,6.4,23.9,23.2,31.9,31.2
屎,下,忠,30181,81.6,82.4,70.1,76.7,80.8,83.5,83.5,46.6,25.9,24.5,43.7,49.7,52.3,52.7,24.4,7.5,9.0,23.9,25.6,28.9,28.6
