DXEF,DXCD,DXAB,样本,→ZE>0,→ZE>0+ZC>0,→ZE>0+ZC>0+ZA>0,下日DSHR>0,下日DSHR>1,下日DSHR>2,均HR,中位HR,父级样本,收缩标记
唏,中,上,986,88.7,36.3,36.3,71.6,41.5,19.2,1.16,0.72,132074,
唏,中,中,398,79.1,30.2,28.6,79.1,43.5,21.9,1.22,0.85,132074,
唏,中,下,13529,54.6,19.2,9.4,85.8,54.3,28.6,1.6,1.12,132074,
唏,中,忐,5058,92.2,47.6,47.6,82.9,50.4,28.3,1.63,1.0,132074,
唏,中,忠,14220,86.9,33.5,33.5,81.9,48.9,26.8,1.52,0.96,132074,
唏,中,忑,97883,68.9,18.1,13.3,86.3,54.6,28.6,1.59,1.13,132074,
唏,下,上,392,73.7,29.3,29.3,83.7,43.6,23.5,1.44,0.81,160302,
唏,下,中,201,68.7,26.4,25.9,82.1,51.7,25.9,1.42,1.01,160302,
唏,下,下,4700,25.6,10.0,7.6,85.4,53.6,28.7,1.61,1.1,160302,
唏,下,忐,1980,81.0,27.2,27.2,81.1,46.9,24.1,1.5,0.9,160302,
唏,下,忠,10298,63.0,11.9,11.9,83.0,49.4,26.2,1.51,0.98,160302,
唏,下,忑,142731,21.0,2.5,2.4,86.5,54.5,27.9,1.56,1.12,160302,
唏,忐,上,78516,92.9,92.4,84.1,83.0,56.2,36.0,2.36,1.24,92297,
唏,忐,中,10276,59.3,58.6,27.5,87.4,56.0,30.8,1.77,1.18,92297,
唏,忐,下,2504,24.9,23.9,11.9,87.2,53.9,27.3,1.58,1.1,92297,
唏,忐,忐,861,80.6,77.0,76.7,82.1,55.1,34.3,2.03,1.21,92297,
唏,忐,忠,35,75.6,74.5,64.9,81.9,49.0,29.8,,,92297,贝叶斯(k=100)
唏,忐,忑,105,39.0,38.1,28.6,77.1,41.9,15.2,1.08,0.74,92297,
唏,忠,上,1948,67.8,59.7,57.0,80.4,45.7,24.9,1.41,0.87,4652,
唏,忠,中,919,40.7,36.1,25.6,81.6,49.2,26.4,1.45,0.97,4652,
唏,忠,下,1225,18.4,16.7,11.5,84.1,48.0,23.2,1.44,0.93,4652,
唏,忠,忐,370,70.5,63.8,63.5,80.0,45.7,27.3,1.81,0.87,4652,
唏,忠,忠,40,46.5,42.0,38.7,81.1,43.4,22.8,,,4652,贝叶斯(k=100)
唏,忠,忑,150,26.7,26.0,24.0,76.7,42.0,27.3,1.3,0.78,4652,
唏,忑,上,982,66.0,33.6,33.6,81.6,44.7,24.5,1.42,0.86,22659,
唏,忑,中,505,46.7,24.8,23.6,82.0,47.5,25.9,1.37,0.91,22659,
唏,忑,下,4115,15.7,10.3,8.4,83.5,48.1,24.7,1.41,0.93,22659,
唏,忑,忐,1302,69.4,36.3,36.3,84.5,51.3,28.0,1.61,1.03,22659,
唏,忑,忠,1264,44.4,18.5,18.5,81.9,47.5,25.6,1.47,0.91,22659,
唏,忑,忑,14491,7.8,3.7,3.6,86.6,51.9,25.9,1.53,1.05,22659,
屎,上,上,225124,73.3,73.0,68.5,83.6,54.4,33.6,2.01,1.16,346268,
屎,上,中,39506,30.0,29.9,19.9,85.4,54.3,29.7,1.66,1.13,346268,
屎,上,下,34735,12.8,12.6,8.9,85.4,54.0,28.7,1.61,1.11,346268,
屎,上,忐,26309,51.7,49.9,49.5,82.6,50.3,28.6,1.63,1.01,346268,
屎,上,忠,6165,28.1,26.8,26.1,80.9,48.6,26.9,1.51,0.95,346268,
屎,上,忑,14429,15.0,14.7,13.2,83.1,49.5,26.8,1.52,0.98,346268,
屎,中,上,696,57.9,23.6,23.6,51.0,25.9,12.5,0.8,0.01,48833,
屎,中,中,266,32.3,16.2,16.2,69.9,35.0,16.2,0.95,0.54,48833,
屎,中,下,5839,11.2,8.6,6.6,83.6,50.9,25.7,1.5,1.02,48833,
屎,中,忐,4368,48.9,35.4,35.4,80.5,46.7,26.3,1.47,0.89,48833,
屎,中,忠,8189,31.4,21.7,21.7,79.8,47.0,25.1,1.45,0.9,48833,
屎,中,忑,29475,11.6,9.3,8.6,83.7,51.0,25.8,1.48,1.03,48833,
屎,下,上,567,33.5,18.2,18.2,73.2,38.1,17.5,1.07,0.59,306371,
屎,下,中,234,24.4,17.9,17.5,71.4,44.9,26.1,1.31,0.85,306371,
屎,下,下,6911,6.9,5.3,4.4,81.9,48.7,24.4,1.41,0.96,306371,
屎,下,忐,6053,38.1,20.9,20.9,81.0,46.5,25.4,1.5,0.89,306371,
屎,下,忠,30181,15.8,7.0,7.0,81.6,46.6,24.4,1.44,0.9,306371,
屎,下,忑,262425,2.6,1.4,1.4,84.6,52.2,26.2,1.45,1.06,306371,
屎,忐,上,840612,33.7,33.6,33.0,83.8,53.6,32.0,1.89,1.12,976658,
屎,忐,中,91467,8.9,8.9,7.1,87.2,56.5,30.9,1.72,1.2,976658,
屎,忐,下,23043,3.8,3.8,3.4,86.5,55.5,30.6,1.69,1.17,976658,
屎,忐,忐,17842,26.7,26.5,26.5,83.4,52.5,31.4,1.87,1.08,976658,
屎,忐,忠,1052,6.3,6.3,6.2,81.3,50.9,30.4,1.63,1.03,976658,
屎,忐,忑,2642,3.1,3.1,3.1,83.4,50.6,26.6,1.55,1.02,976658,
屎,忠,上,761773,1.9,1.9,1.9,84.2,52.1,29.0,1.69,1.06,1020020,
屎,忠,中,122721,1.0,1.0,1.0,86.2,54.4,29.1,1.64,1.13,1020020,
屎,忠,下,58732,0.9,0.9,0.9,85.9,54.6,29.2,1.63,1.13,1020020,
屎,忠,忐,64561,5.4,5.3,5.3,82.8,51.9,30.8,1.82,1.06,1020020,
屎,忠,忠,3729,1.7,1.7,1.7,82.3,49.8,28.1,1.53,0.98,1020020,
屎,忠,忑,8504,1.4,1.3,1.3,83.2,50.4,28.1,1.53,1.01,1020020,
屎,忑,上,260251,1.1,0.8,0.8,84.1,51.5,27.8,1.58,1.04,4598276,
屎,忑,中,62595,0.8,0.6,0.6,84.8,53.6,29.0,1.6,1.11,4598276,
屎,忑,下,201933,0.6,0.6,0.5,85.0,52.6,27.3,1.56,1.07,4598276,
屎,忑,忐,421283,1.7,1.3,1.3,83.0,50.6,28.7,1.64,1.01,4598276,
屎,忑,忠,654977,0.6,0.4,0.4,82.2,49.7,27.4,1.56,0.99,4598276,
屎,忑,忑,2997237,0.2,0.1,0.1,83.9,52.2,27.7,1.55,1.06,4598276,
尿,上,上,5816,86.7,84.7,79.7,80.8,49.4,30.2,1.84,0.98,8867,
尿,上,中,523,45.9,43.6,28.3,79.0,48.6,29.1,1.54,0.91,8867,
尿,上,下,557,24.6,20.8,13.3,80.3,53.0,27.5,1.43,1.05,8867,
尿,上,忐,1474,71.8,66.8,66.5,82.0,47.2,27.1,1.67,0.92,8867,
尿,上,忠,225,44.9,39.1,37.8,80.9,44.0,26.2,1.39,0.75,8867,
尿,上,忑,272,23.2,22.4,19.5,86.8,53.3,28.7,1.44,1.13,8867,
尿,中,上,61,51.8,27.3,26.7,61.0,30.8,16.6,,,1321,贝叶斯(k=100)
尿,中,中,9,47.2,24.7,23.8,68.1,37.2,19.9,,,1321,贝叶斯(k=100)
尿,中,下,211,34.6,16.1,11.8,68.2,32.7,13.7,0.71,0.4,1321,
尿,中,忐,292,66.1,44.2,44.2,78.4,45.5,27.1,1.59,0.84,1321,
尿,中,忠,270,50.4,30.7,30.7,69.6,38.9,21.1,1.22,0.55,1321,
尿,中,忑,478,29.1,16.3,15.5,76.4,42.7,21.1,1.1,0.69,1321,
尿,下,上,63,26.0,14.3,14.3,73.0,44.9,26.2,,,34302,贝叶斯(k=100)
尿,下,中,20,9.4,4.5,4.4,75.8,48.5,26.4,,,34302,贝叶斯(k=100)
尿,下,下,643,19.4,13.2,10.3,71.4,38.4,23.3,1.1,0.54,34302,
尿,下,忐,755,57.4,27.3,27.3,82.8,50.6,29.4,1.74,1.01,34302,
尿,下,忠,3368,23.4,8.8,8.8,78.7,48.8,27.7,1.56,0.95,34302,
尿,下,忑,29453,3.8,1.8,1.8,82.7,54.1,31.2,1.74,1.14,34302,
尿,忐,上,95762,49.9,49.8,49.1,84.7,56.4,34.9,2.03,1.23,104953,
尿,忐,中,5585,13.8,13.8,11.2,87.6,60.0,35.0,1.88,1.33,104953,
尿,忐,下,1075,7.1,7.1,6.0,87.2,58.6,32.5,1.8,1.29,104953,
尿,忐,忐,2316,56.9,56.2,56.1,83.4,53.2,33.2,1.99,1.14,104953,
尿,忐,忠,66,37.1,37.1,36.6,83.7,57.6,33.0,,,104953,贝叶斯(k=100)
尿,忐,忑,149,10.1,10.1,9.4,84.6,55.0,34.2,1.79,1.21,104953,
尿,忠,上,161508,5.4,5.3,5.3,85.8,55.8,33.3,1.89,1.2,197935,
尿,忠,中,17852,1.7,1.7,1.7,87.9,59.1,34.4,1.89,1.3,197935,
尿,忠,下,5734,1.6,1.6,1.5,87.3,57.7,33.8,1.83,1.26,197935,
尿,忠,忐,11770,14.9,14.7,14.7,83.5,54.4,34.1,1.99,1.16,197935,
尿,忠,忠,385,4.4,4.4,4.4,84.4,51.2,27.8,1.61,1.02,197935,
尿,忠,忑,686,4.1,4.1,3.8,85.9,52.3,29.9,1.67,1.08,197935,
尿,忑,上,76788,1.6,1.3,1.3,85.7,55.2,32.4,1.8,1.17,1421501,
尿,忑,中,14768,0.8,0.7,0.7,86.6,57.0,32.7,1.82,1.24,1421501,
尿,忑,下,37734,0.9,0.8,0.8,85.8,55.9,31.5,1.72,1.19,1421501,
尿,忑,忐,136083,2.9,2.2,2.2,83.9,54.0,32.5,1.84,1.14,1421501,
尿,忑,忠,234528,0.8,0.5,0.5,83.7,53.4,31.6,1.77,1.12,1421501,
尿,忑,忑,921600,0.2,0.1,0.1,85.2,57.2,33.9,1.84,1.25,1421501,
